model,backend,precision,num_crops,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,p95_model_inference_ms,max_model_inference_ms
alexnet,pytorch,FP32,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.35,97.2,96.74,96.97,9.36,3.26,6120,176,206,1705,9.633,1.837,7.444,13.691,17.779
alexnet,tensorrt,FP16,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.33,97.2,96.73,96.97,9.36,3.27,6119,176,207,1705,6.584,2.396,3.163,12.687,16.789
alexnet,int8,INT8,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.48,97.13,97.0,97.07,9.62,3.0,6136,181,190,1700,4.664,1.844,1.908,8.729,12.089
vgg16,pytorch,FP32,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.11,97.97,96.96,97.47,6.75,3.04,6134,127,192,1754,40.307,4.702,35.85,48.969,63.371
vgg16,tensorrt,FP16,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.1,97.97,96.95,97.46,6.75,3.05,6133,127,193,1754,11.861,1.42,10.39,14.173,24.813
vgg16,int8,INT8,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.2,98.08,96.96,97.52,6.38,3.04,6134,120,192,1761,8.591,1.294,5.738,10.576,26.363
resnet18,pytorch,FP32,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.03,98.36,96.46,97.4,5.42,3.54,6102,102,224,1779,10.893,1.364,10.17,14.473,22.031
resnet18,tensorrt,FP16,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.04,98.37,96.46,97.41,5.37,3.54,6102,101,224,1780,5.103,1.386,2.176,8.752,12.263
resnet18,int8,INT8,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.02,98.39,96.41,97.39,5.32,3.59,6099,100,227,1781,2.623,0.591,1.459,3.865,7.705
resnet34,pytorch,FP32,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.15,97.18,96.51,96.84,9.41,3.49,6105,177,221,1704,19.806,2.439,18.316,25.041,35.979
resnet34,tensorrt,FP16,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.15,97.18,96.51,96.84,9.41,3.49,6105,177,221,1704,7.893,2.343,4.584,14.207,15.471
resnet34,int8,INT8,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.15,97.2,96.49,96.84,9.36,3.51,6104,176,222,1705,4.688,1.236,2.368,8.136,10.554
resnet50,pytorch,FP32,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.45,99.17,96.21,97.67,2.71,3.79,6086,51,240,1830,22.487,1.646,21.225,25.753,29.279
resnet50,tensorrt,FP16,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.45,99.17,96.21,97.67,2.71,3.79,6086,51,240,1830,7.857,1.823,4.658,11.669,17.248
resnet50,int8,INT8,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,96.59,99.2,96.35,97.75,2.6,3.65,6095,49,231,1832,6.49,1.726,2.993,10.784,14.151
mobilenet_v2,pytorch,FP32,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.74,98.19,96.24,97.21,5.95,3.76,6088,112,238,1769,18.328,1.341,17.566,22.72,34.703
mobilenet_v2,tensorrt,FP16,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.74,98.19,96.24,97.21,5.95,3.76,6088,112,238,1769,4.151,1.275,2.065,7.493,10.02
mobilenet_v2,int8,INT8,1,/home/malat/PycharmProjects/Flame2/Resized_TestSet_Cropped_Biggest,8207,95.86,98.31,96.29,97.28,5.58,3.71,6091,105,235,1776,3.71,1.237,2.085,6.987,10.183
