run,n_before,n_after,n_dropped,f1_before,f1_after,recall_before,recall_after,precision_before,precision_after,fpr_before,fpr_after,acc_before,acc_after,TP_after,FP_after,FN_after,TN_after
alexnet_int8_crops1,2592,2289,303,79.71,88.47,68.04,81.88,96.21,96.21,6.01,6.01,76.04,86.11,1220,48,270,751
alexnet_int8_crops3,2592,2289,303,79.67,88.43,67.99,81.81,96.21,96.21,6.01,6.01,76.0,86.06,1219,48,271,751
alexnet_int8_raw,2592,2289,303,29.16,33.99,17.35,20.87,91.47,91.47,3.63,3.63,41.71,47.23,311,29,1179,770
alexnet_pytorch_crops1,2592,2289,303,79.86,88.64,68.1,81.95,96.52,96.52,5.51,5.51,76.23,86.33,1221,44,269,755
alexnet_pytorch_crops3,2592,2289,303,79.82,88.58,68.15,82.01,96.3,96.3,5.88,5.88,76.16,86.24,1222,47,268,752
alexnet_pytorch_raw,2592,2289,303,29.84,34.77,17.79,21.41,92.46,92.46,3.25,3.25,42.13,47.71,319,26,1171,773
alexnet_tensorrt_crops1,2592,2289,303,79.86,88.64,68.1,81.95,96.52,96.52,5.51,5.51,76.23,86.33,1221,44,269,755
alexnet_tensorrt_crops3,2592,2289,303,79.82,88.58,68.15,82.01,96.3,96.3,5.88,5.88,76.16,86.24,1222,47,268,752
alexnet_tensorrt_raw,2592,2289,303,29.84,34.77,17.79,21.41,92.46,92.46,3.25,3.25,42.13,47.71,319,26,1171,773
mobilenet_v2_int8_crops1,2592,2289,303,74.04,82.59,60.46,72.75,95.51,95.51,6.38,6.38,70.68,80.03,1084,51,406,748
mobilenet_v2_int8_crops3,2592,2289,303,72.06,80.18,60.12,72.35,89.91,89.91,15.14,15.14,67.75,76.71,1078,121,412,678
mobilenet_v2_int8_raw,2592,2289,303,28.33,32.92,17.18,20.67,80.84,80.84,9.14,9.14,39.89,45.17,308,73,1182,726
