model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.11,96.21,81.88,88.47,6.01,18.12,1220,48,270,751,0.22,0.029,0.188,0.534,0.005,0.002,0.003,0.058,0.033,0.008,0.024,0.133,1.899,0.983,0.897,19.239,0.822,0.618,0.496,5.031,4.555,0.694,4.032,9.934,0.241,0.05,0.194,0.968,7.991,1.751,6.173,26.318
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.06,96.21,81.81,88.43,6.01,18.19,1219,48,271,751,0.211,0.019,0.19,0.381,0.004,0.001,0.003,0.048,0.047,0.007,0.039,0.121,4.089,1.84,1.811,17.209,1.159,0.638,0.81,7.015,5.255,0.505,4.899,10.373,0.239,0.04,0.205,0.893,11.39,2.48,8.885,27.31
alexnet,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,47.23,91.47,20.87,33.99,3.63,79.13,311,29,1179,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697,1.207,2.856,18.574,0.671,0.436,0.445,4.0,4.453,0.516,3.935,8.771,0.239,0.048,0.199,0.866,9.296,1.666,8.066,25.316
alexnet,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.33,96.52,81.95,88.64,5.51,18.05,1221,44,269,755,0.221,0.035,0.184,0.973,0.005,0.002,0.003,0.048,0.032,0.007,0.023,0.114,1.91,0.929,0.899,9.07,0.83,0.602,0.484,5.254,14.286,1.178,13.584,33.916,1.338,0.438,1.014,3.591,19.583,2.348,17.266,39.437
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.24,96.3,82.01,88.58,5.88,17.99,1222,47,268,752,0.218,0.026,0.189,0.479,0.005,0.011,0.002,0.567,0.049,0.018,0.039,0.663,4.197,1.912,1.804,14.28,1.215,0.718,0.82,7.11,18.05,1.117,17.06,29.36,1.888,0.51,1.208,3.906,26.877,2.887,22.859,41.467
alexnet,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,47.71,92.46,21.41,34.77,3.25,78.59,319,26,1171,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165,1.471,2.908,18.355,1.093,0.89,0.451,7.763,17.283,5.81,7.204,39.834,1.917,1.385,1.077,9.376,25.498,7.895,12.955,57.752
alexnet,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.33,96.52,81.95,88.64,5.51,18.05,1221,44,269,755,0.216,0.026,0.183,0.457,0.005,0.002,0.003,0.044,0.032,0.006,0.024,0.116,1.953,1.238,0.833,36.701,0.817,0.615,0.471,4.79,6.594,0.872,6.057,12.154,0.232,0.034,0.192,0.469,10.056,2.069,8.139,44.607
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.24,96.3,82.01,88.58,5.88,17.99,1222,47,268,752,0.212,0.023,0.189,0.756,0.005,0.002,0.003,0.075,0.047,0.007,0.035,0.134,4.239,2.058,1.856,20.583,1.185,0.664,0.794,6.73,7.492,0.693,7.087,13.437,0.236,0.026,0.208,0.672,13.819,2.709,11.082,33.601
alexnet,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,47.71,92.46,21.41,34.77,3.25,78.59,319,26,1171,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.692,1.284,2.871,15.737,0.659,0.413,0.46,4.193,6.574,0.735,6.145,12.665,0.235,0.035,0.194,0.489,11.39,1.952,10.066,24.227
mobilenet_v2,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,80.03,95.51,72.75,82.59,6.38,27.25,1084,51,406,748,0.215,0.024,0.189,0.506,0.005,0.002,0.003,0.052,0.031,0.005,0.023,0.109,2.198,1.146,0.832,9.625,1.294,1.094,0.472,5.869,4.298,1.046,3.583,10.971,0.26,0.07,0.197,1.011,8.523,2.596,5.679,20.258
