model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,97.45,97.5,99.23,98.36,8.45,0.77,6191,159,48,1722,0.208,0.032,0.177,0.948,0.004,0.002,0.002,0.089,0.03,0.007,0.023,0.234,1.681,0.734,0.817,6.566,0.856,0.638,0.481,5.792,4.535,0.84,4.045,13.639,0.228,0.043,0.197,0.93,7.75,1.693,6.117,19.663
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.82,96.63,99.33,97.96,11.48,0.67,6197,216,42,1665,0.211,0.03,0.18,0.89,0.004,0.002,0.002,0.085,0.047,0.009,0.038,0.194,3.847,1.62,1.774,20.442,1.213,0.694,0.77,6.636,5.219,0.609,4.797,14.885,0.23,0.03,0.203,1.011,11.166,2.264,8.401,29.394
alexnet,int8,INT8,raw,1,raw,SmokeFire_unified,8120,83.1,95.77,81.62,88.13,11.96,18.38,5092,225,1147,1656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.341,0.505,2.874,8.144,0.652,0.407,0.465,3.799,4.382,0.489,4.017,10.907,0.223,0.021,0.199,0.847,8.824,1.03,8.03,18.324
alexnet,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,97.55,97.63,99.21,98.42,7.97,0.79,6190,150,49,1731,0.239,0.06,0.185,3.459,0.005,0.003,0.003,0.089,0.036,0.012,0.025,0.444,2.092,1.137,0.876,13.79,1.474,1.444,0.499,17.384,15.649,3.945,7.214,46.402,2.568,1.767,1.087,9.202,23.068,5.844,11.243,56.233
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.91,96.78,99.28,98.01,10.95,0.72,6194,206,45,1675,0.238,0.028,0.198,1.03,0.005,0.003,0.003,0.22,0.058,0.01,0.041,0.509,4.128,1.846,2.137,19.685,1.393,0.961,0.894,11.077,21.12,6.043,9.169,44.03,1.766,0.578,1.178,10.009,30.002,6.845,15.423,66.849
alexnet,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,83.05,95.96,81.38,88.07,11.38,18.62,5077,214,1162,1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.654,0.577,2.931,10.182,0.791,0.5,0.512,6.26,17.606,5.431,7.447,134.378,1.67,0.483,1.08,7.58,24.844,5.739,13.991,150.357
alexnet,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,97.55,97.63,99.21,98.42,7.97,0.79,6190,150,49,1731,0.209,0.03,0.173,0.915,0.005,0.005,0.002,0.35,0.031,0.008,0.023,0.396,1.616,0.665,0.82,7.048,0.77,0.467,0.489,5.889,6.5,0.747,5.953,14.867,0.227,0.02,0.196,0.529,9.561,1.297,8.179,24.769
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.91,96.78,99.28,98.01,10.95,0.72,6194,206,45,1675,0.209,0.021,0.183,0.563,0.005,0.002,0.003,0.107,0.047,0.009,0.038,0.402,3.67,1.504,1.82,14.305,1.143,0.562,0.763,6.144,7.469,0.69,6.915,19.166,0.232,0.021,0.204,0.624,13.163,2.0,10.671,32.962
alexnet,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,83.05,95.96,81.38,88.07,11.38,18.62,5077,214,1162,1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495,0.731,2.881,13.86,0.668,0.351,0.482,3.675,6.823,1.476,5.983,19.714,0.248,0.04,0.2,0.715,11.473,2.209,9.932,27.695
mobilenet_v2,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,97.81,98.4,98.75,98.58,5.32,1.25,6161,100,78,1781,0.213,0.04,0.18,2.077,0.004,0.002,0.002,0.082,0.031,0.009,0.022,0.36,1.89,0.879,0.842,14.465,1.177,0.973,0.482,5.935,4.338,1.17,3.535,12.206,0.247,0.063,0.194,1.837,8.119,2.376,5.716,25.61
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.57,98.14,98.72,98.43,6.22,1.28,6159,117,80,1764,0.222,0.047,0.18,1.004,0.004,0.002,0.002,0.094,0.049,0.013,0.038,0.663,4.614,2.096,1.785,18.49,1.818,1.393,0.767,10.223,5.981,1.14,5.153,14.208,0.254,0.065,0.206,2.203,13.361,3.843,8.846,33.239
mobilenet_v2,int8,INT8,raw,1,raw,SmokeFire_unified,8120,82.29,97.47,79.0,87.27,6.8,21.0,4929,128,1310,1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821,0.897,2.87,10.251,0.948,0.724,0.436,6.155,4.28,1.046,3.548,11.136,0.248,0.07,0.2,2.392,9.539,2.186,7.477,22.985
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,97.89,98.59,98.67,98.63,4.68,1.33,6156,88,83,1793,0.214,0.033,0.184,0.949,0.005,0.002,0.002,0.081,0.031,0.007,0.024,0.309,1.852,0.842,0.803,7.437,1.142,0.957,0.481,6.784,19.464,2.133,17.815,92.667,2.509,2.009,1.038,8.179,27.414,4.01,22.615,99.028
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.75,98.4,98.67,98.54,5.32,1.33,6156,100,83,1781,0.218,0.027,0.188,1.252,0.005,0.002,0.003,0.148,0.05,0.009,0.04,0.365,4.518,1.915,1.895,21.147,1.825,1.311,0.782,9.251,24.256,5.351,17.72,54.66,1.594,0.931,1.154,8.493,34.816,6.936,24.75,71.388
mobilenet_v2,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,78.25,97.94,73.23,83.8,5.1,26.77,4569,96,1670,1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.869,2.856,9.708,0.975,0.782,0.433,6.063,19.689,3.268,17.579,230.958,2.073,1.493,1.041,9.463,28.751,4.709,24.305,242.867
