model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,dataset_folder,run_folder
vgg16,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,67.49,99.29,59.81,74.65,1.72,40.19,2936,21,1973,1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.132,0.862,3.023,17.435,1.229,0.94,0.487,6.563,14.296,4.737,5.984,28.463,0.313,0.055,0.208,1.019,20.264,5.354,10.393,39.656,FireSmokeDataset,vgg16_int8_raw
alexnet,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,84.31,97.5,82.52,89.39,8.5,17.48,4051,104,858,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.423,0.628,2.881,13.86,0.658,0.331,0.482,3.333,6.676,1.114,5.983,19.562,0.244,0.034,0.2,0.715,11.238,1.736,9.932,27.176,FireSmokeDataset,alexnet_tensorrt_raw
resnet34,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,97.91,98.68,98.72,98.7,5.31,1.28,4846,65,63,1159,0.236,0.058,0.188,0.978,0.005,0.008,0.003,0.569,0.035,0.012,0.025,0.492,1.921,0.901,0.807,6.796,1.131,0.905,0.477,7.507,7.352,1.603,4.023,19.574,0.268,0.077,0.202,1.615,11.173,2.707,6.684,27.467,FireSmokeDataset,resnet34_tensorrt_crops1
resnet50,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.86,99.67,98.9,99.28,1.31,1.1,4855,16,54,1208,0.221,0.049,0.181,1.022,0.005,0.002,0.003,0.043,0.033,0.011,0.023,0.421,1.892,0.84,0.8,6.546,1.126,0.929,0.481,8.391,6.079,1.191,5.258,15.703,0.25,0.06,0.2,0.929,9.824,2.389,7.574,24.802,FireSmokeDataset,resnet50_int8_crops1
resnet18,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.71,99.29,99.1,99.19,2.86,0.9,4865,35,44,1189,0.213,0.047,0.175,1.143,0.005,0.002,0.002,0.054,0.032,0.013,0.022,0.621,1.862,0.839,0.843,6.943,1.128,0.942,0.467,7.088,5.01,1.088,4.248,12.161,0.241,0.063,0.196,1.273,8.712,2.312,6.501,21.379,FireSmokeDataset,resnet18_tensorrt_crops1
vgg16,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,68.32,99.11,60.97,75.5,2.21,39.03,2993,27,1916,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.066,0.772,3.072,11.874,1.595,1.073,0.514,7.467,39.912,4.84,35.623,226.062,1.774,0.215,1.14,7.661,48.719,5.099,42.597,238.368,FireSmokeDataset,vgg16_pytorch_raw
vgg16,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.52,99.45,98.7,99.07,2.21,1.3,4845,27,64,1197,0.281,0.05,0.2,2.07,0.006,0.003,0.003,0.1,0.044,0.012,0.026,0.415,2.583,1.266,0.886,12.919,2.216,1.737,0.566,15.539,42.304,7.474,35.703,298.791,2.108,0.777,1.229,10.103,50.878,9.115,40.905,304.694,FireSmokeDataset,vgg16_pytorch_crops1
resnet50,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.79,99.69,98.8,99.24,1.23,1.2,4850,15,59,1209,0.217,0.018,0.182,0.432,0.004,0.002,0.002,0.054,0.033,0.006,0.025,0.13,1.785,0.779,0.823,5.232,1.009,0.782,0.478,5.726,25.12,4.036,20.859,109.085,1.397,0.796,1.003,6.507,31.256,4.868,25.508,115.54,FireSmokeDataset,resnet50_pytorch_crops1
resnet50,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,72.74,99.45,66.31,79.56,1.47,33.69,3255,18,1654,1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.402,1.3,2.945,14.506,1.222,0.79,0.482,6.099,11.213,3.082,4.883,24.498,0.351,0.083,0.209,1.27,18.507,4.296,8.959,35.332,FireSmokeDataset,resnet50_tensorrt_raw
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/FireSmokeDataset,6133,98.08,99.08,98.51,98.79,3.68,1.49,4836,45,73,1179,0.216,0.032,0.191,0.931,0.005,0.002,0.002,0.081,0.031,0.007,0.024,0.309,1.846,0.831,0.803,7.437,1.142,0.959,0.481,6.784,19.492,2.012,17.905,88.879,2.491,1.991,1.04,8.179,27.433,3.919,22.801,96.439,FireSmokeDataset,mobilenet_v2_pytorch_crops1
