model,backend,precision,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,params_m,weights_mb,onnx_mb,trt_fp16_mb,trt_int8_mb
alexnet,int8,INT8,95.48,97.13,97.0,97.07,9.62,3.0,4.664,1.844,1.908,12.089,57.012,217.49,217.49,108.94,54.87
alexnet,pytorch,FP32,95.35,97.2,96.74,96.97,9.36,3.26,9.633,1.837,7.444,17.779,57.012,217.49,217.49,108.94,54.87
alexnet,tensorrt,FP16,95.33,97.2,96.73,96.97,9.36,3.27,6.584,2.396,3.163,16.789,57.012,217.49,217.49,108.94,54.87
mobilenet_v2,int8,INT8,95.86,98.31,96.29,97.28,5.58,3.71,3.71,1.237,2.085,10.183,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,pytorch,FP32,95.74,98.19,96.24,97.21,5.95,3.76,18.328,1.341,17.566,34.703,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,tensorrt,FP16,95.74,98.19,96.24,97.21,5.95,3.76,4.151,1.275,2.065,10.02,2.226,8.72,8.47,4.65,3.09
resnet18,int8,INT8,96.02,98.39,96.41,97.39,5.32,3.59,2.623,0.591,1.459,7.705,11.178,42.71,42.63,21.76,11.23
resnet18,pytorch,FP32,96.03,98.36,96.46,97.4,5.42,3.54,10.893,1.364,10.17,22.031,11.178,42.71,42.63,21.76,11.23
resnet18,tensorrt,FP16,96.04,98.37,96.46,97.41,5.37,3.54,5.103,1.386,2.176,12.263,11.178,42.71,42.63,21.76,11.23
resnet34,int8,INT8,95.15,97.2,96.49,96.84,9.36,3.51,4.688,1.236,2.368,10.554,21.286,81.33,81.18,41.1,20.99
resnet34,pytorch,FP32,95.15,97.18,96.51,96.84,9.41,3.49,19.806,2.439,18.316,35.979,21.286,81.33,81.18,41.1,20.99
resnet34,tensorrt,FP16,95.15,97.18,96.51,96.84,9.41,3.49,7.893,2.343,4.584,15.471,21.286,81.33,81.18,41.1,20.99
resnet50,int8,INT8,96.59,99.2,96.35,97.75,2.6,3.65,6.49,1.726,2.993,14.151,23.512,89.99,89.61,45.36,23.6
resnet50,pytorch,FP32,96.45,99.17,96.21,97.67,2.71,3.79,22.487,1.646,21.225,29.279,23.512,89.99,89.61,45.36,23.6
resnet50,tensorrt,FP16,96.45,99.17,96.21,97.67,2.71,3.79,7.857,1.823,4.658,17.248,23.512,89.99,89.61,45.36,23.6
vgg16,int8,INT8,96.2,98.08,96.96,97.52,6.38,3.04,8.591,1.294,5.738,26.363,134.269,512.2,512.2,256.4,128.99
vgg16,pytorch,FP32,96.11,97.97,96.96,97.47,6.75,3.04,40.307,4.702,35.85,63.371,134.269,512.2,512.2,256.4,128.99
vgg16,tensorrt,FP16,96.1,97.97,96.95,97.46,6.75,3.05,11.861,1.42,10.39,24.813,134.269,512.2,512.2,256.4,128.99
