model,backend,precision,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,params_m,weights_mb,onnx_mb,trt_fp16_mb,trt_int8_mb
alexnet,int8,INT8,86.11,96.21,81.88,88.47,6.01,18.12,0.22,0.029,0.188,0.534,0.005,0.002,0.003,0.058,0.033,0.008,0.024,0.133,1.899,0.983,0.897,19.239,0.822,0.618,0.496,5.031,4.555,0.694,4.032,9.934,0.241,0.05,0.194,0.968,7.991,1.751,6.173,26.318,57.012,217.49,217.49,108.94,54.87
alexnet,pytorch,FP32,86.33,96.52,81.95,88.64,5.51,18.05,0.221,0.035,0.184,0.973,0.005,0.002,0.003,0.048,0.032,0.007,0.023,0.114,1.91,0.929,0.899,9.07,0.83,0.602,0.484,5.254,14.286,1.178,13.584,33.916,1.338,0.438,1.014,3.591,19.583,2.348,17.266,39.437,57.012,217.49,217.49,108.94,54.87
alexnet,tensorrt,FP16,86.33,96.52,81.95,88.64,5.51,18.05,0.216,0.026,0.183,0.457,0.005,0.002,0.003,0.044,0.032,0.006,0.024,0.116,1.953,1.238,0.833,36.701,0.817,0.615,0.471,4.79,6.594,0.872,6.057,12.154,0.232,0.034,0.192,0.469,10.056,2.069,8.139,44.607,57.012,217.49,217.49,108.94,54.87
mobilenet_v2,int8,INT8,80.03,95.51,72.75,82.59,6.38,27.25,0.215,0.024,0.189,0.506,0.005,0.002,0.003,0.052,0.031,0.005,0.023,0.109,2.198,1.146,0.832,9.625,1.294,1.094,0.472,5.869,4.298,1.046,3.583,10.971,0.26,0.07,0.197,1.011,8.523,2.596,5.679,20.258,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,pytorch,FP32,82.09,94.93,76.58,84.77,7.63,23.42,0.222,0.038,0.188,1.139,0.005,0.001,0.003,0.016,0.032,0.012,0.025,0.594,2.138,0.997,0.881,12.266,1.268,1.081,0.493,7.119,19.022,1.938,18.024,97.346,1.545,1.103,1.077,7.659,26.571,3.885,22.96,105.237,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,tensorrt,FP16,82.09,94.93,76.58,84.77,7.63,23.42,0.216,0.033,0.186,1.003,0.004,0.001,0.003,0.045,0.033,0.011,0.024,0.496,2.145,1.066,0.812,16.737,1.279,1.116,0.465,5.754,4.725,1.064,3.914,12.09,0.261,0.063,0.197,0.896,8.889,2.683,6.12,24.383,2.226,8.72,8.47,4.65,3.09
resnet18,int8,INT8,83.49,97.44,76.64,85.8,3.75,23.36,0.218,0.035,0.189,1.117,0.004,0.002,0.002,0.065,0.032,0.006,0.023,0.108,2.131,1.128,0.843,13.755,1.215,1.044,0.493,6.5,3.367,0.558,2.941,8.821,0.246,0.071,0.189,0.976,7.436,2.24,5.052,21.057,11.178,42.71,42.63,21.76,11.23
resnet18,pytorch,FP32,84.1,97.15,77.85,86.44,4.26,22.15,0.218,0.033,0.187,0.963,0.005,0.002,0.003,0.066,0.033,0.007,0.025,0.145,2.188,1.087,0.87,8.603,1.256,1.057,0.499,6.862,18.407,4.07,10.18,51.286,1.515,0.977,1.082,7.968,24.978,5.83,14.307,58.955,11.178,42.71,42.63,21.76,11.23
resnet18,tensorrt,FP16,84.1,97.15,77.85,86.44,4.26,22.15,0.217,0.033,0.183,1.016,0.006,0.011,0.003,0.571,0.033,0.021,0.024,0.644,2.169,0.964,0.841,7.095,1.374,1.172,0.476,8.262,5.076,1.114,4.302,13.796,0.257,0.064,0.198,0.902,9.358,2.658,6.465,23.674,11.178,42.71,42.63,21.76,11.23
resnet34,int8,INT8,85.54,94.54,82.55,88.14,8.89,17.45,0.216,0.029,0.185,0.962,0.005,0.003,0.003,0.074,0.032,0.006,0.025,0.115,2.175,0.981,0.839,6.637,1.359,1.157,0.482,7.661,5.089,1.064,4.247,11.725,0.258,0.063,0.195,0.895,9.359,2.643,6.369,21.151,21.286,81.33,81.18,41.1,20.99
resnet34,pytorch,FP32,86.24,94.34,83.89,88.81,9.39,16.11,0.223,0.027,0.196,0.53,0.005,0.003,0.003,0.151,0.033,0.007,0.026,0.135,2.072,0.881,0.885,7.599,1.227,1.024,0.515,6.035,33.421,6.43,18.438,63.125,1.756,0.741,1.104,7.255,40.382,7.548,22.919,72.621,21.286,81.33,81.18,41.1,20.99
resnet34,tensorrt,FP16,86.19,94.34,83.83,88.77,9.39,16.17,0.216,0.034,0.183,0.959,0.006,0.002,0.003,0.063,0.032,0.021,0.024,0.618,2.152,1.138,0.826,14.938,1.262,1.084,0.473,6.018,7.234,1.459,6.319,16.124,0.252,0.051,0.199,0.727,11.376,2.895,8.343,31.141,21.286,81.33,81.18,41.1,20.99
resnet50,int8,INT8,83.88,96.75,77.85,86.28,4.88,22.15,0.215,0.035,0.188,1.04,0.005,0.002,0.003,0.067,0.032,0.006,0.026,0.145,2.324,1.279,0.844,10.504,1.35,1.159,0.489,9.993,6.153,1.2,5.291,13.645,0.256,0.062,0.199,0.904,10.56,2.895,7.521,24.095,23.512,89.99,89.61,45.36,23.6
resnet50,pytorch,FP32,83.62,95.96,78.12,86.13,6.13,21.88,0.22,0.034,0.194,0.97,0.005,0.003,0.003,0.142,0.033,0.006,0.025,0.102,2.107,1.01,0.868,16.246,1.228,1.031,0.487,6.857,35.085,6.388,21.758,105.336,1.54,0.77,1.108,7.807,42.114,7.654,26.823,112.11,23.512,89.99,89.61,45.36,23.6
resnet50,tensorrt,FP16,83.66,95.96,78.19,86.17,6.13,21.81,0.217,0.041,0.187,1.198,0.005,0.001,0.003,0.041,0.032,0.006,0.024,0.093,2.083,1.065,0.829,16.668,1.181,1.042,0.478,6.234,9.147,1.757,7.978,19.715,0.248,0.041,0.2,0.585,13.14,3.181,10.174,30.537,23.512,89.99,89.61,45.36,23.6
vgg16,int8,INT8,89.21,97.12,85.97,91.21,4.76,14.03,0.217,0.03,0.187,0.699,0.005,0.002,0.003,0.061,0.032,0.013,0.024,0.614,2.259,1.332,0.856,11.201,1.25,1.112,0.478,6.88,12.034,2.739,5.815,27.942,0.245,0.054,0.19,0.97,16.268,4.347,11.641,37.226,134.269,512.2,512.2,256.4,128.99
vgg16,pytorch,FP32,90.0,97.09,87.25,91.91,4.88,12.75,0.216,0.024,0.192,0.642,0.005,0.002,0.002,0.046,0.032,0.005,0.024,0.122,2.076,0.89,0.912,8.233,1.194,0.907,0.49,5.419,51.647,8.781,39.711,93.44,1.669,0.788,1.097,7.371,57.877,9.59,44.114,108.336,134.269,512.2,512.2,256.4,128.99
