model,backend,precision,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,params_m,weights_mb,onnx_mb,trt_fp16_mb,trt_int8_mb
alexnet,int8,INT8,86.06,96.21,81.81,88.43,6.01,18.19,0.211,0.019,0.19,0.381,0.004,0.001,0.003,0.048,0.047,0.007,0.039,0.121,4.089,1.84,1.811,17.209,1.159,0.638,0.81,7.015,5.255,0.505,4.899,10.373,0.239,0.04,0.205,0.893,11.39,2.48,8.885,27.31,57.012,217.49,217.49,108.94,54.87
alexnet,pytorch,FP32,86.24,96.3,82.01,88.58,5.88,17.99,0.218,0.026,0.189,0.479,0.005,0.011,0.002,0.567,0.049,0.018,0.039,0.663,4.197,1.912,1.804,14.28,1.215,0.718,0.82,7.11,18.05,1.117,17.06,29.36,1.888,0.51,1.208,3.906,26.877,2.887,22.859,41.467,57.012,217.49,217.49,108.94,54.87
alexnet,tensorrt,FP16,86.24,96.3,82.01,88.58,5.88,17.99,0.212,0.023,0.189,0.756,0.005,0.002,0.003,0.075,0.047,0.007,0.035,0.134,4.239,2.058,1.856,20.583,1.185,0.664,0.794,6.73,7.492,0.693,7.087,13.437,0.236,0.026,0.208,0.672,13.819,2.709,11.082,33.601,57.012,217.49,217.49,108.94,54.87
mobilenet_v2,int8,INT8,76.71,89.91,72.35,80.18,15.14,27.65,0.217,0.029,0.189,0.876,0.005,0.002,0.003,0.057,0.049,0.019,0.04,0.677,5.114,2.487,1.749,16.334,1.87,1.467,0.779,9.151,5.924,1.021,5.122,13.148,0.254,0.044,0.207,0.819,13.858,4.178,8.958,33.936,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,pytorch,FP32,78.9,89.8,76.24,82.47,16.15,23.76,0.221,0.038,0.194,1.114,0.005,0.002,0.003,0.055,0.05,0.009,0.041,0.158,5.284,2.38,1.898,24.274,2.025,1.563,0.811,8.142,28.67,5.469,18.142,52.512,1.583,0.866,1.207,8.047,40.488,7.713,25.275,72.132,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,tensorrt,FP16,78.86,89.73,76.24,82.44,16.27,23.76,0.215,0.026,0.189,0.627,0.005,0.001,0.003,0.043,0.049,0.009,0.04,0.147,5.185,2.61,1.831,16.387,1.845,1.48,0.785,10.694,7.676,1.371,6.675,17.289,0.248,0.039,0.208,0.701,15.648,4.446,10.45,35.096,2.226,8.72,8.47,4.65,3.09
resnet18,int8,INT8,81.91,94.61,76.58,84.64,8.14,23.42,0.215,0.029,0.18,0.887,0.005,0.002,0.003,0.068,0.049,0.014,0.039,0.624,5.197,2.736,1.771,25.48,1.868,1.563,0.778,9.75,4.833,1.021,4.096,11.827,0.249,0.049,0.205,0.981,12.844,4.472,7.716,33.389,11.178,42.71,42.63,21.76,11.23
resnet18,pytorch,FP32,82.7,94.76,77.72,85.4,8.01,22.28,0.224,0.035,0.199,0.974,0.005,0.002,0.003,0.05,0.05,0.016,0.042,0.674,7.855,2.719,2.013,24.652,4.74,2.006,0.835,14.941,31.811,5.908,15.796,64.109,2.322,0.927,1.227,13.605,48.657,8.221,22.436,99.318,11.178,42.71,42.63,21.76,11.23
resnet18,tensorrt,FP16,82.74,94.84,77.72,85.43,7.88,22.28,0.215,0.031,0.187,1.154,0.005,0.001,0.003,0.016,0.048,0.009,0.04,0.218,5.305,2.643,1.777,16.035,1.979,1.555,0.783,8.274,7.893,1.46,6.963,16.444,0.248,0.04,0.207,0.693,16.131,4.74,10.737,36.184,11.178,42.71,42.63,21.76,11.23
resnet34,int8,INT8,83.09,90.76,82.42,86.39,15.64,17.58,0.216,0.025,0.189,0.454,0.005,0.002,0.003,0.054,0.048,0.008,0.04,0.142,5.141,2.498,1.785,22.387,1.839,1.487,0.767,10.271,7.044,1.312,6.184,15.119,0.256,0.042,0.217,0.589,14.968,4.274,10.0,34.997,21.286,81.33,81.18,41.1,20.99
resnet34,pytorch,FP32,84.23,90.94,84.16,87.42,15.64,15.84,0.22,0.032,0.191,0.923,0.004,0.001,0.003,0.033,0.05,0.011,0.041,0.431,4.904,2.346,1.864,18.035,1.766,1.386,0.812,8.009,45.519,8.613,30.939,73.215,1.899,0.786,1.237,6.985,56.197,10.236,38.463,94.72,21.286,81.33,81.18,41.1,20.99
resnet34,tensorrt,FP16,84.19,90.93,84.09,87.38,15.64,15.91,0.219,0.036,0.187,0.985,0.005,0.003,0.003,0.063,0.05,0.023,0.041,0.688,5.104,2.599,1.805,16.411,1.845,1.475,0.802,9.808,12.336,2.388,6.59,28.201,0.262,0.058,0.212,0.833,20.243,5.271,14.777,46.64,21.286,81.33,81.18,41.1,20.99
resnet50,int8,INT8,81.3,92.41,77.65,84.39,11.89,22.35,0.218,0.031,0.19,0.983,0.005,0.002,0.003,0.046,0.049,0.01,0.04,0.223,5.136,2.653,1.854,20.306,1.861,1.498,0.779,11.413,9.602,1.767,8.533,19.2,0.251,0.045,0.211,0.98,17.551,4.797,12.495,42.463,23.512,89.99,89.61,45.36,23.6
resnet50,pytorch,FP32,80.95,91.37,78.12,84.23,13.77,21.88,0.216,0.022,0.188,0.627,0.004,0.001,0.003,0.049,0.048,0.012,0.04,0.426,4.805,2.228,1.868,15.973,1.674,1.291,0.819,10.063,53.958,9.229,43.273,88.688,1.721,0.737,1.213,7.72,64.403,10.473,50.269,101.125,23.512,89.99,89.61,45.36,23.6
resnet50,tensorrt,FP16,80.91,91.36,78.05,84.18,13.77,21.95,0.215,0.035,0.186,0.988,0.005,0.001,0.003,0.018,0.049,0.009,0.042,0.212,5.336,2.612,1.821,20.085,1.942,1.562,0.786,8.339,17.243,3.937,8.592,38.008,0.306,0.097,0.213,1.598,25.536,6.573,12.806,54.668,23.512,89.99,89.61,45.36,23.6
vgg16,int8,INT8,88.03,95.24,85.91,90.33,8.01,14.09,0.217,0.032,0.189,0.835,0.005,0.002,0.003,0.057,0.048,0.009,0.04,0.221,5.289,2.712,1.844,19.163,1.842,1.448,0.779,11.128,22.808,5.121,10.388,47.494,0.349,0.08,0.209,0.934,31.001,7.39,14.474,63.706,134.269,512.2,512.2,256.4,128.99
vgg16,pytorch,FP32,88.95,95.38,87.25,91.13,7.88,12.75,0.224,0.036,0.198,0.648,0.005,0.001,0.003,0.045,0.051,0.019,0.041,0.438,5.173,2.394,1.837,19.268,2.021,1.687,0.82,9.481,92.042,9.882,74.677,129.997,2.154,0.756,1.301,7.389,103.053,11.078,82.34,142.753,134.269,512.2,512.2,256.4,128.99
vgg16,tensorrt,FP16,88.99,95.38,87.32,91.17,7.88,12.68,0.22,0.031,0.192,0.66,0.005,0.002,0.003,0.08,0.049,0.012,0.04,0.397,5.037,2.42,1.826,20.651,1.888,1.507,0.773,12.317,39.696,6.218,19.94,75.388,0.31,0.065,0.216,0.8,47.63,8.015,25.522,91.442,134.269,512.2,512.2,256.4,128.99
