model,backend,precision,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,params_m,weights_mb,onnx_mb,trt_fp16_mb,trt_int8_mb
alexnet,int8,INT8,97.45,97.5,99.23,98.36,8.45,0.77,0.208,0.032,0.177,0.948,0.004,0.002,0.002,0.089,0.03,0.007,0.023,0.234,1.681,0.734,0.817,6.566,0.856,0.638,0.481,5.792,4.535,0.84,4.045,13.639,0.228,0.043,0.197,0.93,7.75,1.693,6.117,19.663,57.012,217.49,217.49,108.94,54.87
alexnet,pytorch,FP32,97.55,97.63,99.21,98.42,7.97,0.79,0.239,0.06,0.185,3.459,0.005,0.003,0.003,0.089,0.036,0.012,0.025,0.444,2.092,1.137,0.876,13.79,1.474,1.444,0.499,17.384,15.649,3.945,7.214,46.402,2.568,1.767,1.087,9.202,23.068,5.844,11.243,56.233,57.012,217.49,217.49,108.94,54.87
alexnet,tensorrt,FP16,97.55,97.63,99.21,98.42,7.97,0.79,0.209,0.03,0.173,0.915,0.005,0.005,0.002,0.35,0.031,0.008,0.023,0.396,1.616,0.665,0.82,7.048,0.77,0.467,0.489,5.889,6.5,0.747,5.953,14.867,0.227,0.02,0.196,0.529,9.561,1.297,8.179,24.769,57.012,217.49,217.49,108.94,54.87
mobilenet_v2,int8,INT8,97.81,98.4,98.75,98.58,5.32,1.25,0.213,0.04,0.18,2.077,0.004,0.002,0.002,0.082,0.031,0.009,0.022,0.36,1.89,0.879,0.842,14.465,1.177,0.973,0.482,5.935,4.338,1.17,3.535,12.206,0.247,0.063,0.194,1.837,8.119,2.376,5.716,25.61,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,pytorch,FP32,97.89,98.59,98.67,98.63,4.68,1.33,0.214,0.033,0.184,0.949,0.005,0.002,0.002,0.081,0.031,0.007,0.024,0.309,1.852,0.842,0.803,7.437,1.142,0.957,0.481,6.784,19.464,2.133,17.815,92.667,2.509,2.009,1.038,8.179,27.414,4.01,22.615,99.028,2.226,8.72,8.47,4.65,3.09
mobilenet_v2,tensorrt,FP16,97.88,98.57,98.67,98.62,4.73,1.33,0.214,0.04,0.182,1.151,0.004,0.002,0.002,0.068,0.032,0.009,0.024,0.384,1.903,0.887,0.799,8.991,1.161,0.949,0.477,6.229,4.693,1.06,3.912,12.761,0.244,0.063,0.197,1.814,8.468,2.306,6.09,21.567,2.226,8.72,8.47,4.65,3.09
resnet18,int8,INT8,98.49,98.87,99.17,99.02,3.77,0.83,0.212,0.033,0.179,0.954,0.004,0.002,0.003,0.053,0.032,0.008,0.023,0.188,1.878,0.87,0.822,10.05,1.17,0.951,0.471,6.409,3.37,0.56,2.825,8.887,0.238,0.061,0.19,1.325,7.124,1.927,4.977,19.601,11.178,42.71,42.63,21.76,11.23
resnet18,pytorch,FP32,98.42,98.85,99.1,98.98,3.83,0.9,0.215,0.024,0.185,0.665,0.004,0.004,0.002,0.385,0.032,0.007,0.024,0.201,1.784,0.82,0.837,9.317,1.025,0.818,0.481,11.691,15.208,4.33,10.074,65.574,2.25,1.908,1.028,8.981,21.709,5.849,14.074,79.591,11.178,42.71,42.63,21.76,11.23
resnet18,tensorrt,FP16,98.42,98.85,99.1,98.98,3.83,0.9,0.215,0.049,0.175,1.192,0.005,0.002,0.002,0.07,0.032,0.012,0.022,0.621,1.882,0.864,0.843,6.943,1.134,0.938,0.467,7.088,5.028,1.108,4.248,14.624,0.242,0.063,0.193,1.273,8.758,2.325,6.452,23.657,11.178,42.71,42.63,21.76,11.23
resnet34,int8,INT8,96.95,97.42,98.64,98.02,8.67,1.36,0.213,0.04,0.179,0.945,0.005,0.003,0.002,0.087,0.032,0.009,0.023,0.207,1.896,0.84,0.815,7.15,1.143,0.929,0.482,6.891,5.031,1.071,4.275,12.726,0.247,0.059,0.197,1.01,8.783,2.252,6.43,22.626,21.286,81.33,81.18,41.1,20.99
