model,backend,precision,crop_mode,num_crops,crop_factors,sf_n,sf_accuracy,sf_precision,sf_recall,sf_f1,sf_fpr,sf_TP,sf_FP,sf_FN,sf_TN,sf_latency_ms,iai_n,iai_accuracy,iai_precision,iai_recall,iai_f1,iai_fpr,iai_TP,iai_FP,iai_FN,iai_TN,iai_latency_ms
resnet50,int8,INT8,crops,1,[1.4142],8120,98.68,99.37,98.91,99.14,2.07,6171,39,68,1842,9.85,2289,83.88,96.75,77.85,86.28,4.88,1160,39,330,760,10.56
resnet50,pytorch,FP32,crops,1,[1.4142],8120,98.63,99.37,98.85,99.11,2.07,6167,39,72,1842,31.34,2289,83.62,95.96,78.12,86.13,6.13,1164,49,326,750,42.11
resnet50,tensorrt,FP16,crops,1,[1.4142],8120,98.63,99.37,98.85,99.11,2.07,6167,39,72,1842,14.24,2289,83.66,95.96,78.19,86.17,6.13,1165,49,325,750,13.14
resnet18,int8,INT8,crops,1,[1.4142],8120,98.49,98.87,99.17,99.02,3.77,6187,71,52,1810,7.12,2289,83.49,97.44,76.64,85.80,3.75,1142,30,348,769,7.44
resnet18,tensorrt,FP16,crops,1,[1.4142],8120,98.42,98.85,99.10,98.98,3.83,6183,72,56,1809,8.76,2289,84.10,97.15,77.85,86.44,4.26,1160,34,330,765,9.36
resnet18,pytorch,FP32,crops,1,[1.4142],8120,98.42,98.85,99.10,98.98,3.83,6183,72,56,1809,21.71,2289,84.10,97.15,77.85,86.44,4.26,1160,34,330,765,24.98
resnet50,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",8120,98.37,98.97,98.91,98.94,3.40,6171,64,68,1817,19.10,2289,81.30,92.41,77.65,84.39,11.89,1157,95,333,704,17.55
resnet50,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",8120,98.33,98.99,98.83,98.91,3.35,6166,63,73,1818,27.94,2289,80.91,91.36,78.05,84.18,13.77,1163,110,327,689,25.54
resnet50,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",8120,98.33,98.99,98.83,98.91,3.35,6166,63,73,1818,55.80,2289,80.95,91.37,78.12,84.23,13.77,1164,110,326,689,64.40
vgg16,int8,INT8,crops,1,[1.4142],8120,98.30,98.93,98.86,98.89,3.56,6168,67,71,1814,16.32,2289,89.21,97.12,85.97,91.21,4.76,1281,38,209,761,16.27
vgg16,pytorch,FP32,crops,1,[1.4142],8120,98.21,98.86,98.81,98.84,3.77,6165,71,74,1810,50.08,2289,90.00,97.09,87.25,91.91,4.88,1300,39,190,760,57.88
vgg16,tensorrt,FP16,crops,1,[1.4142],8120,98.20,98.85,98.81,98.83,3.83,6165,72,74,1809,26.61,2289,89.95,97.09,87.18,91.87,4.88,1299,39,191,760,31.11
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.99,98.22,99.18,98.70,5.95,6188,112,51,1769,12.09,2289,81.91,94.61,76.58,84.64,8.14,1141,65,349,734,12.84
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.97,98.24,99.13,98.68,5.90,6185,111,54,1770,36.20,2289,82.70,94.76,77.72,85.40,8.01,1158,64,332,735,48.66
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.96,98.22,99.13,98.68,5.95,6185,112,54,1769,16.01,2289,82.74,94.84,77.72,85.43,7.88,1158,63,332,736,16.13
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],8120,97.89,98.59,98.67,98.63,4.68,6156,88,83,1793,27.41,2289,82.09,94.93,76.58,84.77,7.63,1141,61,349,738,26.57
vgg16,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.88,98.36,98.89,98.63,5.48,6170,103,69,1778,41.37,2289,88.99,95.38,87.32,91.17,7.88,1301,63,189,736,47.63
vgg16,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.88,98.36,98.89,98.63,5.48,6170,103,69,1778,98.92,2289,88.95,95.38,87.25,91.13,7.88,1300,63,190,736,103.05
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],8120,97.88,98.57,98.67,98.62,4.73,6156,89,83,1792,8.47,2289,82.09,94.93,76.58,84.77,7.63,1141,61,349,738,8.89
vgg16,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.87,98.30,98.94,98.62,5.69,6173,107,66,1774,31.11,2289,88.03,95.24,85.91,90.33,8.01,1280,64,210,735,31.00
mobilenet_v2,int8,INT8,crops,1,[1.4142],8120,97.81,98.40,98.75,98.58,5.32,6161,100,78,1781,8.12,2289,80.03,95.51,72.75,82.59,6.38,1084,51,406,748,8.52
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.76,98.42,98.67,98.54,5.26,6156,99,83,1782,15.46,2289,78.86,89.73,76.24,82.44,16.27,1136,130,354,669,15.65
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.75,98.40,98.67,98.54,5.32,6156,100,83,1781,34.82,2289,78.90,89.80,76.24,82.47,16.15,1136,129,354,670,40.49
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",8120,97.57,98.14,98.72,98.43,6.22,6159,117,80,1764,13.36,2289,76.71,89.91,72.35,80.18,15.14,1078,121,412,678,13.86
alexnet,pytorch,FP32,crops,1,[1.4142],8120,97.55,97.63,99.21,98.42,7.97,6190,150,49,1731,23.07,2289,86.33,96.52,81.95,88.64,5.51,1221,44,269,755,19.58
alexnet,tensorrt,FP16,crops,1,[1.4142],8120,97.55,97.63,99.21,98.42,7.97,6190,150,49,1731,9.56,2289,86.33,96.52,81.95,88.64,5.51,1221,44,269,755,10.06
alexnet,int8,INT8,crops,1,[1.4142],8120,97.45,97.50,99.23,98.36,8.45,6191,159,48,1722,7.75,2289,86.11,96.21,81.88,88.47,6.01,1220,48,270,751,7.99
resnet34,tensorrt,FP16,crops,1,[1.4142],8120,97.02,97.38,98.78,98.07,8.83,6163,166,76,1715,11.21,2289,86.19,94.34,83.83,88.77,9.39,1249,75,241,724,11.38
resnet34,pytorch,FP32,crops,1,[1.4142],8120,97.02,97.39,98.77,98.07,8.77,6162,165,77,1716,31.60,2289,86.24,94.34,83.89,88.81,9.39,1250,75,240,724,40.38
resnet34,int8,INT8,crops,1,[1.4142],8120,96.95,97.42,98.64,98.02,8.67,6154,163,85,1718,8.78,2289,85.54,94.54,82.55,88.14,8.89,1230,71,260,728,9.36
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",8120,96.91,96.78,99.28,98.01,10.95,6194,206,45,1675,13.16,2289,86.24,96.30,82.01,88.58,5.88,1222,47,268,752,13.82
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",8120,96.91,96.78,99.28,98.01,10.95,6194,206,45,1675,30.00,2289,86.24,96.30,82.01,88.58,5.88,1222,47,268,752,26.88
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",8120,96.82,96.63,99.33,97.96,11.48,6197,216,42,1665,11.17,2289,86.06,96.21,81.81,88.43,6.01,1219,48,271,751,11.39
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",8120,96.53,96.82,98.72,97.76,10.74,6159,202,80,1679,24.97,2289,84.19,90.93,84.09,87.38,15.64,1253,125,237,674,20.24
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",8120,96.51,96.82,98.70,97.75,10.74,6158,202,81,1679,41.94,2289,84.23,90.94,84.16,87.42,15.64,1254,125,236,674,56.20
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",8120,96.43,96.79,98.62,97.70,10.85,6153,204,86,1677,15.03,2289,83.09,90.76,82.42,86.39,15.64,1228,125,262,674,14.97
alexnet,int8,INT8,raw,1,raw,8120,83.10,95.77,81.62,88.13,11.96,5092,225,1147,1656,8.82,2289,47.23,91.47,20.87,33.99,3.63,311,29,1179,770,9.30
alexnet,tensorrt,FP16,raw,1,raw,8120,83.05,95.96,81.38,88.07,11.38,5077,214,1162,1667,11.47,2289,47.71,92.46,21.41,34.77,3.25,319,26,1171,773,11.39
alexnet,pytorch,FP32,raw,1,raw,8120,83.05,95.96,81.38,88.07,11.38,5077,214,1162,1667,24.84,2289,47.71,92.46,21.41,34.77,3.25,319,26,1171,773,25.50
mobilenet_v2,int8,INT8,raw,1,raw,8120,82.29,97.47,79.00,87.27,6.80,4929,128,1310,1753,9.54,2289,45.17,80.84,20.67,32.92,9.14,308,73,1182,726,10.08
resnet34,pytorch,FP32,raw,1,raw,8120,78.30,97.60,73.57,83.90,6.01,4590,113,1649,1768,35.14,2289,55.48,90.39,35.37,50.84,7.01,527,56,963,743,41.88
resnet34,tensorrt,FP16,raw,1,raw,8120,78.25,97.60,73.51,83.85,6.01,4586,113,1653,1768,14.47,2289,55.44,90.24,35.37,50.82,7.13,527,57,963,742,12.98
mobilenet_v2,pytorch,FP32,raw,1,raw,8120,78.25,97.94,73.23,83.80,5.10,4569,96,1670,1785,28.75,2289,45.65,82.37,21.01,33.48,8.39,313,67,1177,732,28.02
mobilenet_v2,tensorrt,FP16,raw,1,raw,8120,78.19,97.98,73.12,83.74,5.00,4562,94,1677,1787,10.07,2289,45.65,82.54,20.94,33.40,8.26,312,66,1178,733,10.27
resnet34,int8,INT8,raw,1,raw,8120,77.94,97.46,73.20,83.61,6.33,4567,119,1672,1762,10.59,2289,54.48,90.73,33.49,48.92,6.38,499,51,991,748,11.03
resnet18,int8,INT8,raw,1,raw,8120,77.19,97.99,71.79,82.87,4.89,4479,92,1760,1789,8.45,2289,41.15,87.05,11.28,19.96,3.13,168,25,1322,774,8.84
resnet18,pytorch,FP32,raw,1,raw,8120,76.55,98.07,70.88,82.29,4.63,4422,87,1817,1794,27.84,2289,41.76,86.51,12.48,21.82,3.63,186,29,1304,770,27.09
resnet18,tensorrt,FP16,raw,1,raw,8120,76.53,98.07,70.84,82.26,4.63,4420,87,1819,1794,11.58,2289,41.76,86.51,12.48,21.82,3.63,186,29,1304,770,10.86
