model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,int8,INT8,crops,1,[1.4142],FireSmoke,6133,98.48,98.86,99.25,99.05,4.58,0.75,4872,56,37,1168,0.208,0.03,0.181,0.819,0.004,0.002,0.002,0.089,0.03,0.007,0.023,0.234,1.654,0.702,0.817,6.566,0.828,0.592,0.481,5.792,4.497,0.751,4.045,9.527,0.227,0.041,0.197,0.872,7.655,1.574,6.117,17.76
alexnet,int8,INT8,crops,1,[1.4142],FireSmokeNEW,1987,94.26,92.76,99.17,95.86,15.68,0.83,1319,103,11,554,0.207,0.037,0.177,0.948,0.004,0.001,0.002,0.028,0.03,0.007,0.023,0.151,1.768,0.821,0.818,6.167,0.941,0.758,0.484,5.499,4.653,1.061,4.05,13.639,0.232,0.048,0.199,0.93,8.044,1.988,6.153,19.663
alexnet,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,97.45,97.50,99.23,98.36,8.45,0.77,6191,159,48,1722,0.208,0.032,0.177,0.948,0.004,0.002,0.002,0.089,0.030,0.007,0.023,0.234,1.682,0.731,0.817,6.566,0.856,0.633,0.481,5.792,4.535,0.827,4.045,13.639,0.228,0.043,0.197,0.930,7.750,1.675,6.117,19.663
alexnet,int8,INT8,crops,1,[1.4142],IAI_original,2592,76.04,96.21,68.04,79.71,6.01,31.96,1220,48,573,751,0.22,0.029,0.188,0.534,0.005,0.002,0.003,0.058,0.033,0.008,0.024,0.133,1.899,0.983,0.897,19.239,0.822,0.618,0.496,5.031,4.555,0.694,4.032,9.934,0.241,0.05,0.194,0.968,7.991,1.751,6.173,26.318
alexnet,int8,INT8,crops,1,[1.4142],IAI_filtered,2289,86.11,96.21,81.88,88.47,6.01,18.12,1220,48,270,751,0.22,0.029,0.188,0.534,0.005,0.002,0.003,0.058,0.033,0.008,0.024,0.133,1.899,0.983,0.897,19.239,0.822,0.618,0.496,5.031,4.555,0.694,4.032,9.934,0.241,0.05,0.194,0.968,7.991,1.751,6.173,26.318
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.22,98.41,99.39,98.9,6.45,0.61,4879,79,30,1145,0.211,0.03,0.18,0.89,0.004,0.002,0.002,0.085,0.047,0.009,0.038,0.194,3.891,1.639,1.774,15.218,1.22,0.696,0.77,6.636,5.225,0.62,4.797,12.0,0.231,0.032,0.206,1.011,11.223,2.291,8.401,29.394
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,92.5,90.58,99.1,94.65,20.85,0.9,1318,137,12,520,0.213,0.029,0.189,0.591,0.004,0.001,0.002,0.042,0.047,0.009,0.039,0.19,3.714,1.552,2.087,20.442,1.192,0.685,0.781,6.243,5.2,0.574,4.894,14.885,0.229,0.022,0.203,0.457,10.992,2.17,8.836,28.736
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.82,96.63,99.33,97.96,11.48,0.67,6197,216,42,1665,0.211,0.030,0.180,0.890,0.004,0.002,0.002,0.085,0.047,0.009,0.038,0.194,3.848,1.618,1.774,20.442,1.213,0.693,0.770,6.636,5.219,0.609,4.797,14.885,0.231,0.030,0.203,1.011,11.166,2.261,8.401,29.394
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,76.0,96.21,67.99,79.67,6.01,32.01,1219,48,574,751,0.211,0.019,0.19,0.381,0.004,0.001,0.003,0.048,0.047,0.007,0.039,0.121,4.089,1.84,1.811,17.209,1.159,0.638,0.81,7.015,5.255,0.505,4.899,10.373,0.239,0.04,0.205,0.893,11.39,2.48,8.885,27.31
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,86.06,96.21,81.81,88.43,6.01,18.19,1219,48,271,751,0.211,0.019,0.19,0.381,0.004,0.001,0.003,0.048,0.047,0.007,0.039,0.121,4.089,1.84,1.811,17.209,1.159,0.638,0.81,7.015,5.255,0.505,4.899,10.373,0.239,0.04,0.205,0.893,11.39,2.48,8.885,27.31
