dataset,fire,sample_every,DatasetSize,FinaDatasetlSize,,
FASDD,1,5,8031,1606.2,,
FASDD,0,8,17066,2133.25,,
FireMan,1,5,9081,1816.2,,
FireMan,0,1,647,647,,
FLAME_2,1,15,39751,2650.066667,,
FLAME_2,0,10,13700,1370,,
FLAME_3,1,1,622,622,,
FLAME_3,0,1,116,116,,
Forest_Fire_Dataset,1,1,950,950,,
Forest_Fire_Dataset,0,1,950,950,,
IAI_Datasets,1,1,5441,5441,,
IAI_Datasets,0,1,2396,2396,,
Roboflow,1,1,1358,1358,,
Roboflow,0,1,0,0,,
Roboflow2,1,5,1185,237,,Total_Images
Roboflow2,0,5,1587,317.4,,22610.11667
