dataset,fire,sample_every,DatasetSize,FinaDatasetlSize
AIDAR,1,1,521,
AIDAR,0,1,4916,
Burned_Area_UAV,1,5,226,
Burned_Area_UAV,0,1,0,
D_Fire,1,1,5822,
D_Fire,0,5,9838,
FASDD,1,5,13111,2622.2
FASDD,0,8,11986,1498.25
FireMan,1,5,9081,1816.2
FireMan,0,1,647,647
FireSmokeDataset,1,3,14725,
FireSmokeDataset,0,1,1252,
FireSmokeNEWdataset,1,2,2692,
FireSmokeNEWdataset,0,2,1437,
FLAME,1,20,30155,
FLAME,0,20,17837,
FLAME_2,1,20,39751,
FLAME_2,0,15,13700,
FLAME_3,1,1,622,622
FLAME_3,0,1,116,116
Forest_Fire_Dataset,1,1,950,950
Forest_Fire_Dataset,0,1,950,950
IAI_Datasets,1,3,5378,
IAI_Datasets,0,3,2396,
Roboflow,1,1,1358,1358
Roboflow,0,5,1587,
UAVs-FFDB,1,5,1145,
UAVs-FFDB,0,3,498,
